price,locality,property_type,bedrooms,brand_new,furnished_status,builder,project_name,user_type,floor,date_posted,move_in,area_sqft,price_persqft
7675000.0,Bachupally,Apartment,3,New Property,Unfurnished,Anmol,,Agent,7,2021-08-16,2023-12-01,1535.0,5000.0
7034247.0,Bachupally,Apartment,3,New Property,Unfurnished,Indraprastha,Codename Talk of Hyderabad,Agent,5,2021-08-17,2026-03-01,1353.0,5199.0
8497700.0,Aminpur,Apartment,3,New Property,Unfurnished,,,Agent,4,2021-08-16,2023-12-01,1627.0,5222.925629993853
6718325.0,Sai Anurag Colony,Apartment,2,New Property,Unfurnished,Prop Pinpoint,Gothic Pentagon Clouds,Agent,4,2021-08-16,2024-12-01,1305.0,5148.141762452107
6750000.0,Chaitanyapuri Kothapet,Apartment,2,New Property,Unfurnished,,,Agent,3,2021-08-16,2021-12-01,1250.0,5400.0
4405482.0,Aminpur,Apartment,2,Resale,Unfurnished,Urbanrise,Spring Is In The Air,Agent,5,2021-08-17,2023-10-01,918.0,4799.0
6700000.0,Kousalya Colony ,Apartment,2,New Property,Unfurnished,Jaya Groups,,Agent,5,2021-08-16,2024-08-01,1100.0,6090.909090909091
13800000.0,LB Nagar ,Villa,3,New Property,Unfurnished,,,Agent,,2021-08-17,2023-03-01,2800.0,4928.571428571428
9500000.0,Masjid Banda,Apartment,3,New Property,Unfurnished,,,Agent,2,2021-08-16,2022-03-01,1580.0,6012.658227848101
5224500.0,Narapally,Apartment,2,New Property,Unfurnished,Vasavi Constructions,Sri Nivasam,Builder,,2021-08-17,2023-12-01,1215.0,4300.0
3350000.0,Kollur,Apartment,3,New Property,Unfurnished,Rajendra Realtors,,Agent,10,2021-08-16,2025-12-01,1802.0,1859.0455049944505
5900000.0,Chanda Nagar,Apartment,2,New Property,Semi-Furnished,,,Agent,3,2021-08-16,2023-01-01,1200.0,4916.666666666667
6130000.0,Tellapur,Apartment,2,New Property,Semi-Furnished,Stepping Stone Properties,,Agent,3,2021-08-17,2023-12-01,1257.0,4876.690533015116
6826500.0,Kollur,Apartment,3,New Property,Semi-Furnished,Sreegruha,,Agent,5,2021-08-18,2022-10-01,1665.0,4100.0
10637500.0,Kukatpally ,Apartment,3,New Property,Unfurnished,Prem Constructions,Gottumukulas Prem Sarovar Emerald,Builder,,2021-07-30,2021-08-01,1638.0,6494.200244200244
5125000.0,Chanda Nagar,Apartment,2,New Property,Unfurnished,Aakash Properties,,Agent,4,2021-08-17,2022-12-01,1165.0,4399.1416309012875
